horizon,lead,lagging,lag,rho,edge_bp,cost_bp_at_1.5x,pays,qualifies
1h,EURCHF,USDCHF,12,0.076791,0.94897,2.29661,False,False
1h,USDCHF,EURCHF,12,0.073996,0.74627,2.20943,False,False
1h,EURCHF,USDCHF,6,-0.073656,0.91022,2.29661,False,False
1h,USDCHF,EURCHF,6,-0.067254,0.67828,2.20943,False,False
1h,EURCHF,USDCHF,1,-0.060222,0.74421,2.29661,False,False
1h,USDCHF,EURCHF,1,-0.051565,0.52005,2.20943,False,False
1h,EURCHF,USDCHF,7,0.04578,0.56574,2.29661,False,False
1h,USDCHF,EURCHF,7,0.034941,0.35239,2.20943,False,False
1h,EURCHF,USDCAD,3,0.031591,0.30575,1.89748,False,False
1h,GBPJPY,EURGBP,6,0.028774,0.29094,2.30898,False,False
1h,GBPJPY,EURJPY,5,-0.028363,0.33912,1.43792,False,False
1h,USDCHF,EURCHF,10,0.027892,0.2813,2.20943,False,False
1h,EURJPY,GBPJPY,5,-0.027184,0.39511,2.23965,False,False
1h,USDCHF,USDCAD,3,0.026895,0.2603,1.89748,False,False
1h,EURCHF,USDCHF,10,0.026598,0.3287,2.29661,False,False
1h,GBPJPY,GBPUSD,5,-0.025627,0.31181,1.63781,False,False
1h,GBPUSD,GBPJPY,5,-0.023284,0.33842,2.23965,False,False
1h,AUDUSD,EURCHF,9,-0.022826,0.2302,2.20943,False,False
1h,EURCHF,NZDUSD,3,-0.022662,0.3196,3.44412,False,False
1h,GBPJPY,GBPUSD,6,-0.021898,0.26644,1.63781,False,False
1h,EURJPY,EURGBP,12,-0.021537,0.21776,2.30898,False,False
1h,EURJPY,GBPUSD,5,-0.020967,0.25512,1.63781,False,False
1h,USDJPY,EURGBP,6,0.020501,0.20729,2.30898,False,False
1h,EURGBP,GBPUSD,6,0.020273,0.24667,1.63781,False,False
1h,EURCHF,USDCHF,2,0.020235,0.25006,2.29661,False,False
1h,AUDJPY,EURCHF,9,-0.020039,0.2021,2.20943,False,False
1h,EURGBP,GBPJPY,6,0.019962,0.29015,2.23965,False,False
1h,GBPUSD,EURJPY,5,-0.019747,0.2361,1.43792,False,False
1h,EURCHF,AUDUSD,3,-0.019531,0.26824,2.9453,False,False
1h,EURUSD,GBPJPY,12,0.018919,0.27497,2.23965,False,False
1h,GBPUSD,USDJPY,12,0.018748,0.21496,1.09233,False,False
1h,EURCHF,AUDJPY,3,-0.018142,0.28188,1.95793,False,False
1h,GBPUSD,EURGBP,4,-0.018035,0.18235,2.30898,False,False
1h,NZDUSD,USDCAD,12,0.017864,0.17289,1.89748,False,False
1h,EURCHF,USDCHF,5,-0.017539,0.21674,2.29661,False,False
1h,AUDUSD,EURGBP,4,-0.017501,0.17696,2.30898,False,False
1h,EURJPY,GBPJPY,1,0.017434,0.25339,2.23965,False,False
1h,EURUSD,EURGBP,12,-0.017306,0.17498,2.30898,False,False
